id,usuario_id,post_id,conteudo,curtidas,data,responde_comentario_id
52,4,23,Desfile incrível!,20,2024-01-15T16:00:00,
53,14,23,A melhor fashion week,22,2024-01-15T16:30:00,
54,26,23,Já estou ansiosa pela próxima,18,2024-01-15T17:00:00,
55,1,26,Code is life!,15,2024-01-12T14:20:00,
56,9,26,Programar é arte,12,2024-01-12T14:45:00,
57,23,26,Concordo plenamente,19,2024-01-12T15:00:00,
58,41,26,Código limpo é essencial,17,2024-01-12T15:30:00,
59,1,27,Debate sempre construtivo,24,2024-01-11T10:45:00,
60,8,27,Precisamos de mais diálogos assim,21,2024-01-11T11:00:00,
61,14,27,Política com respeito,19,2024-01-11T11:30:00,
62,43,27,Democracia em primeiro lugar,27,2024-01-11T12:00:00,
63,4,28,Lifestyle saudável é tudo,20,2024-01-10T08:00:00,
64,6,28,Inspirador!,14,2024-01-10T08:30:00,
65,14,28,Quero ter essa disciplina,18,2024-01-10T09:00:00,
66,26,28,Vamos juntas?,16,2024-01-10T09:30:00,65
67,15,32,Amazônia é patrimônio mundial,13,2024-01-13T18:20:00,
68,22,32,Precisamos proteger,17,2024-01-13T18:45:00,
69,29,35,Salvador no carnaval é único,19,2024-01-10T12:10:00,
70,40,35,Melhor festa do Brasil,22,2024-01-10T12:30:00,
71,23,46,IA mudando o mercado de trabalho,25,2024-01-13T09:05:00,
72,41,46,Precisamos nos adaptar,20,2024-01-13T09:30:00,
73,43,46,Tecnologia é inevitável,23,2024-01-13T10:00:00,
74,1,49,Produtividade sem estresse é possível,11,2024-01-10T12:50:00,
75,2,49,Equilíbrio é a chave,9,2024-01-10T13:15:00,
76,14,50,Skincare é autocuidado,21,2024-01-09T08:05:00,
77,26,50,Qual produto você usa?,18,2024-01-09T08:30:00,
78,49,50,Uso produtos coreanos,24,2024-01-09T09:00:00,77
79,4,51,Desfile maravilhoso,23,2024-01-15T17:20:00,
80,6,51,Moda brasileira em alta,19,2024-01-15T17:45:00,
81,1,53,Open source é o futuro,17,2024-01-13T09:50:00,
82,23,53,Vou contribuir no projeto,14,2024-01-13T10:15:00,
83,41,53,GitHub está bombando,20,2024-01-13T10:45:00,
84,2,58,Ótima playlist!,10,2024-01-15T20:00:00,
85,7,58,Perfeita para estudar,12,2024-01-15T20:30:00,
86,21,58,Salvei no Spotify,15,2024-01-15T21:00:00,
87,1,62,Análise certeira,22,2024-01-11T12:00:00,
88,4,62,Política precisa de análise,19,2024-01-11T12:30:00,
89,8,62,Excelente ponto de vista,24,2024-01-11T13:00:00,
90,43,62,Democracia sempre,28,2024-01-11T13:30:00,
91,14,94,Fashion 2024 promete,20,2024-01-14T17:00:00,
92,26,94,Já anotei todas as tendências,18,2024-01-14T17:30:00,
93,49,94,Sustentabilidade na moda é essencial,22,2024-01-14T18:00:00,
94,23,95,Blockchain revolucionário mesmo,19,2024-01-13T11:20:00,
95,41,95,Web3 chegando forte,21,2024-01-13T11:45:00,
96,1,97,Self-care é prioridade,16,2024-01-11T07:50:00,
97,4,97,Saúde mental em primeiro lugar,19,2024-01-11T08:15:00,
98,14,97,Autocuidado não é luxo,21,2024-01-11T08:40:00,
99,43,100,Debate necessário,26,2024-01-15T11:35:00,
100,8,100,Democracia fortalecida,23,2024-01-15T12:00:00,
